CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
10/19/2016,18:20,QUEENS,11422,40.675762,-73.73133,"(40.675762, -73.73133)",,,241-01    132 ROAD                      ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3543262,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
10/19/2016,4:19,BROOKLYN,11221,40.698452,-73.92579,"(40.698452, -73.92579)",,,181       CENTRAL AVENUE                ,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,Unspecified,,,3542943,,,,,
10/19/2016,14:30,MANHATTAN,10037,40.814774,-73.94038,"(40.814774, -73.94038)",LENOX AVENUE                    ,WEST 136 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3543678,Station Wagon/Sport Utility Vehicle,Van,,,
10/19/2016,1:30,BROOKLYN,11221,40.684093,-73.94307,"(40.684093, -73.94307)",,,365       JEFFERSON AVENUE              ,0,0,0,0,0,0,0,0,Fell Asleep,Unspecified,Unspecified,,,3542998,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,,
10/19/2016,15:18,BRONX,10459,40.82098,-73.89388,"(40.82098, -73.89388)",EAST 163 STREET                 ,FOX STREET,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3543943,Sedan,Bus,,,
10/19/2016,23:00,MANHATTAN,10172,40.755928,-73.97491,"(40.755928, -73.97491)",EAST 48 STREET                  ,PARK AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3546036,Taxi,Station Wagon/Sport Utility Vehicle,,,
10/19/2016,20:30,MANHATTAN,10004,40.706657,-74.015915,"(40.706657, -74.015915)",WEST STREET                     ,MORRIS STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3543929,Pick-up Truck,Sedan,,,
10/19/2016,0:00,,,40.84104,-73.92195,"(40.84104, -73.92195)",SHAKESPEARE AVENUE              ,,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,3543231,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
10/19/2016,0:00,MANHATTAN,10128,,,,2 AVENUE                        ,EAST 90 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3543523,Station Wagon/Sport Utility Vehicle,Sedan,,,
10/19/2016,17:30,MANHATTAN,10027,40.81636,-73.954094,"(40.81636, -73.954094)",WEST 131 STREET                 ,AMSTERDAM AVENUE,,0,0,0,0,0,0,0,0,Lost Consciousness,Unspecified,,,,3547423,Sedan,Sedan,,,
10/19/2016,10:50,BRONX,10455,40.812454,-73.903046,"(40.812454, -73.903046)",,,571       SOUTHERN BOULEVARD            ,0,0,0,0,0,0,0,0,Unspecified,,,,,3543276,Station Wagon/Sport Utility Vehicle,,,,
10/19/2016,16:15,,,40.820435,-73.93624,"(40.820435, -73.93624)",WEST 145 STREET                 ,,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3543707,Station Wagon/Sport Utility Vehicle,Carry All,,,
